,time,speed,time_diff,v_avg,distance
101,1763456420.5112543,30.0,,,
113,1763456420.541448,30.0,0.030193805694580078,30.0,0.9058141708374023
125,1763456421.071661,30.0,0.5302128791809082,30.0,15.906386375427246
137,1763456421.5919886,30.0,0.5203275680541992,30.0,15.609827041625977
149,1763456422.1056108,30.0,0.5136222839355469,30.0,15.408668518066406
161,1763456422.6228063,30.0,0.517195463180542,30.0,15.51586389541626
173,1763456423.14389,30.0,0.5210835933685303,30.0,15.632507801055908
185,1763456423.6639817,30.0,0.5200917720794678,30.0,15.602753162384033
197,1763456424.182121,30.0,0.5181393623352051,30.0,15.544180870056152
209,1763456424.7024486,30.0,0.5203275680541992,30.0,15.609827041625977
221,1763456425.2314138,30.0,0.5289652347564697,30.0,15.868957042694092
233,1763456425.7631936,30.0,0.5317797660827637,30.0,15.95339298248291
245,1763456426.296728,30.0,0.5335342884063721,30.0,16.006028652191162
257,1763456426.8282764,30.0,0.5315485000610352,30.0,15.946455001831055
269,1763456427.3597322,30.0,0.5314557552337646,30.0,15.94367265701294
281,1763456427.8913488,30.0,0.5316166877746582,30.0,15.948500633239746
293,1763456428.421438,30.0,0.5300891399383545,30.0,15.902674198150635
305,1763456428.9501207,30.0,0.5286827087402344,30.0,15.860481262207031
317,1763456429.4815114,30.0,0.5313906669616699,30.0,15.941720008850098
329,1763456430.0114083,30.0,0.5298969745635986,30.0,15.896909236907959
341,1763456430.54171,30.0,0.530301570892334,30.0,15.90904712677002
353,1763456431.0721874,30.0,0.5304775238037109,30.0,15.914325714111328
365,1763456431.591844,30.0,0.5196566581726074,30.0,15.589699745178223
377,1763456432.1044147,30.0,0.5125706195831299,30.0,15.377118587493896
389,1763456432.624507,30.0,0.520092248916626,30.0,15.60276746749878
401,1763456433.1535678,30.0,0.5290608406066895,30.0,15.871825218200684
413,1763456433.6834595,30.0,0.5298917293548584,30.0,15.896751880645752
425,1763456434.2130923,30.0,0.5296328067779541,30.0,15.888984203338623
437,1763456434.7426364,30.0,0.5295441150665283,30.0,15.88632345199585
449,1763456435.2656138,30.0,0.522977352142334,30.0,15.68932056427002
461,1763456435.787046,30.0,0.5214321613311768,30.0,15.642964839935303
473,1763456436.308787,30.0,0.5217411518096924,30.0,15.652234554290771
485,1763456436.8305323,30.0,0.5217452049255371,30.0,15.652356147766113
497,1763456437.355086,30.0,0.5245537757873535,30.0,15.736613273620605
509,1763456437.8810956,30.0,0.5260095596313477,30.0,15.78028678894043
512,1763456438.4141564,0.0,0.5330607891082764,15.0,7.9959118366241455
